"Department","Course ID","Course Title","Instructors","Description"
"Management","MGMT7840","Managerial Economics and Game Theory(0.5 CU)","Deniz Selman","The purpose of this course is to develop students' abilities to apply game theory to decision making. Development of the tools of game theory and the application of those tools is emphasized. Game theory has become an important tool for managers and consultants in analyzing and implementing tactical as well as strategic actions. This course will primarily focus on examples useful for developing competitive strategy in the private sector (pricing and product strategy, capacity choices, contracting and negotiating, signaling and bluffing, takeover strategy, etc.). Game theory can also be used to address problems relevant to a firm's organizational strategy (e.g., internal incentives and information flow within a firm) and to a firm's non-market environment (e.g., strategic trade policies, litigation and regulation strategy). Recommended background in intermediate microeconomics or equivalent. It is expected that the student has been introduced to some basic game theory. There will be a quick review of the basics and some recommended supplemental readings for those who have little or no background in game theory."
"Management","MGMT7860","Reforming Mass Incarceration and the Role of Business(1 CU)","Damon Phillips","This half-semester course introduces current and future leaders to mass incarceration in the U.S., and its effect on employment and entrepreneurship prospects for formerly incarcerated people. We will explore both the challenges of our correctional system as well as potential solutions. For example, over 600,000 people return home from U.S. prisons each year. For most, the return is short-lived as two-thirds are re-incarcerated within three years of release. We will consider many of the reasons why this occurs, including research indicating that the lack of employment opportunities is a major contributor. We will also hear from those directly impacted by the justice system. By the end of the course, you will be among the more educated leaders not just on mass incarceration, but on how to think about ways that the business community can contribute to the success of those impacted by the criminal justice system. This course will also serve as a pre-requisite for a follow-up experiential course where we will teach business skills and financial acumen justice-impacted people, as well as help with their employment and entrepreneurship opportunities."
"Management","MGMT7870","Global Management of Digital Businesses(1 CU)","Mauro Guillen","Digital businesses enable users to communicate, interact, share, and engage in transactions. They enable individuals to shop, work, play, and learn, and they offer companies new ways of organizing their value chains, reaching customers, collecting and analyzing information, and creating value. This half-semester, 0.5-cu class deals with the international expansion of businesses through the use of digital technologies. The focus is on the tension between the eminent scalability facilitated by digital technologies and the ruggedness of the international landscape, shaped as it is by demographics, consumer preferences, culture, regulatory structures, and network effects operating at the local, national, regional, and global levels. The class covers both companies launched as digital businesses and traditional companies undergoing a digital transformation. Topics include industry dynamics, the impact of network effects, the sequence of foreign market entry, regulatory risk, strategic interaction, and global versus local strategies for both new digital businesses and established firms undergoing digital transformation. While there are no specific requirements, knowledge of the fundamental concepts of competitive strategy and global strategy is essential to follow this class. Students will learn through interactive class discussions, team-based exercises, and self-made short videos to pitch novel new ideas about digital businesses."
"Management","MGMT7880","Managing and Competing in China(1 CU)","Regina Abrami","The business environment in China is characterized by both uncertainty and complexity. On the one hand, it is changing fast; on the other hand, it is influenced by deep-rooted political, economic, and cultural forces that exhibit tremendous inertia. This course will help students--as potential managers, entrepreneurs, and investors--gain the knoweledge and analytical skills necessary to compete effectively in China. We will discuss various types of firms in the Chinese economy--from large state-owned enterprises (SOEs) to newly minted Internet giants, from prominent multinational companies (MNCs) to virtually anonymous local suppliers--and the unique institutions in which these firms operate. Such discussions will also help managers whose firms compete or collaborate with Chinese firms on the global stage. We will use a combination of lectures, cases, debates, and role play in class. You will also have the opportunity to apply your learning to real business scenarios."
"Management","MGMT7900","WORKS Immersion (Prison Education)(1 CU)","Damon Phillips","This is an experiential learning course in partnership with Resilience Education, where the core organizing activity is teaching business topics inside prisons. While this is a professor-led course, it is also a co-created experience where your role is essential. Your work this term will be hugely impactful for your incarcerated learners and their families, as well as foundational for future Wharton MBAs. For these reasons, I thank you in advance for your co-leadership. I hope you take the opportunity to lend your talents to important initiatives. We are bolstered by the fact that research has consistently shown that there are positive returns to education for incarcerated people.  At the same time, formal education in prison is usually limited to liberal arts topics. As a result, returning citizens have a need to understand personal finance and how businesses operate in a way that compliments other forms of education that they may be exposed to. There is a particular interest among incarcerated people to learn about entrepreneurship, either because they have promising business ideas or because they see entrepreneurship as a viable alternative given persistent labor market discrimination.  This course provides a means for you to pass along these important skills and tools."
"Management","MGMT7920","Global Capstone: Business Unusual, Global Scenarios, Tensions, and Opportunities(0.5 CU)","Mauro Guillen","We are living in turbulent times. There are many mutually colliding trends in the realms of demography, technology, the economy, politics, and geopolitics. Acquiring a firm grasp of these trends is needed to ensure continued organizational success and to identify and seize new opportunities for business. How quickly will the world’s population peak? What are the implications of ageing? Are we witnessing deglobalization or just a pause in globalization? Will inequality continue to fuel populism and nationalism? Is net-zero attainable? Which country will be the global hegemon? What are the implications for the future of the dollar?"
"Management","MGMT7930","People Analytics(0.5 CU)","Matthew Bidwell","This course examines the use of data to improve how people are managed within organizations. Recent years have seen a growing movement to bring more science to how we manage people. In some cases, that means ensuring that whatever practices and approaches we adopt are backed up by solid evidence as to their effectiveness. Often, organizations will seek to go further, analyzing their own data to identify problems and learn what is working and what is not in their own context. This course applies the insights of the people analytics movement to help students become better managers and more critical analysts within their organizations. The course aims to develop students in three specific ways. First, it provides students with an up-to-the-minute grounding in current evidence about managing people, providing a knowledge base that can ensure that their future management is guided by best practices. Second, it develops the skills and understanding necessary to be thoughtful, critical consumers of evidence on people management, allowing them to make the most of the analysis available to them as they make people decisions. Third, it provides guidance and practice in conducting people analytics, preparing students to gather data of their own, and making them more skilled analysts. The course addresses these topics through a mixture of lecture, case discussion, and hands on exploration of a variety of data sets."
"Management","MGMT7940","Understanding Careers and Executive Labor Markets(0.5 CU)","Matthew Bidwell","This course examines the structure of executive careers in order to help understand how those careers can be managed most effectively. By drawing on extensive economic, sociological and psychological research on careers, we will examine such questions as when executives should move on to the next job or evenchange fields altogether, and what are effective means of finding jobs, achieving promotions, managing networks, and achieving work-life balance. The first few sessions of the course explore the basic building blocks of the career, outlining our knowledge on the different orientations that individuals take to their careers, how approaches to the career change as people get older, and how different kinds of job moves within and across firms advance careers. The second part of the course explores in more detail the social resources that affect careers, notably social networks and relationships with mentors. The third section of the course then examines a number of the most important and difficult issues affecting modern careers, including making successful transitions, the effects of gender on careers, work life balance, and international careers."
"Management","MGMT7980","Managing and Motivating Talent(0.25 CU)","Lisa Rudi, Michael Useem, Peter Cappelli","People are the most valuable asset of any business, but they are also the most unpredictable, and the most difficult, asset to manage. And although managing people well is critical to the health of any organization, most managers don't get the training they need to make good management decisions. Now, award-winning authors and renowned management Professors Mike Useem and Peter Cappelli of the Wharton School have designed this course to introduce you to the key elements of managing people. Based on their popular course at Wharton, this course will teach you how to motivate individual performance and design reward systems, how to design jobs and organize work for high performance, how to make good and timely management decisions, and how to design and change the your organization's architecture. By the end of this course, you'll have developed the skills you need to start motivating, organizing, and rewarding people in your organization so that you can thrive as a business and as a social organization. This course can also only be applied towards unrestricted electives at the undergraduate level."
"Management","MGMT7990","Special Topics in MGMT(1 CU)","Lori Rosenkopf, David Rhode, Mohamed El-erian","Courses offered of various topics and points of focus, ranging across multiple concentrations of Management, (i.e., Entrepreneurial, Strategy, Organizational Business, etc.)."
"Management","MGMT8010","Entrepreneurship(0.5 CU)","Karl Thatcher Ulrich, Daniel Kim, Henning Piezunka","MGMT 801 is the foundation coures in the Entrepeurial Management program. The purpose of this course is to explore the many dimensions of new venture creation and growth. While most of the examples in class will be drawn from new venture formation, the principles also apply to entrepreneurship in corporate settings and to non-profit entrepreneurship. We will be concerned with content and process questions as well as with formulation and implementation issues that relate to conceptualizing, developing, and managing successful new ventures. The emphasis in this course is on applying and synthesizing concepts and techniques from functional areas of strategic management, finance, accounting, managerial economics, marketing, operations management, and organizational behavior in the context of new venture development. The class serves as both a stand alone class and as a preparatory course to those interested in writing and venture implementation (the subject of the semester-long course, MGMT 806). Format: Lectures and case discussions"
"Management","MGMT8020","Change, Innovation & Entrepreneurship(0.5 CU)","Ethan Mollick","Designed for students with a serious interest in entrepreneurship, this course will provide you with an advanced theoretical foundation and a set of practical tools for the management of startups and entrepreneurial teams in fast-changing and innovative environments. Building on the skills of MGMT 801, every class session is built around an experience where you have to put learning into practice, including the award-winning Looking Glass entrepreneurial simulation, role-playing exercises, and a variety of other games and simulations. The goal is to constantly challenge you to deal with entrepreneurial or innovative experiences, as you learn to navigate complex and changing environments on the fly, applying what you learned to a variety of scenarios. MGMT 802 is built to be challenging and will require a desire to deal with ambiguous and shifting circumstances. It is recommended students take MGMT 801 before enrolling in this course. Format: Lectures, discussion, interim reports, class participation, readings report, and presentations, and an innovation assessment in PowerPoint format."
"Management","MGMT8040","Venture Capital and Entrepreneurial Management(0.5 CU)","Raffi Amit, Stephen Sammut","This elective half-semester course focuses on venture capital management issues in the context of the typical high-growth potential early stage start-up company. The course is fundamentally pragmatic in its outlook. It will cover seven principal areas relevant to the privately held high-growth start-up which include: commentary on the venture capital industry generally, as well as a discussion of the typical venture fund structure and related venture capital objectives and investment strategies; common organizational issues encountered in the formation of a venture backed start-up, including issues relating to initial capitalization, intellectual property and early stage equity arrangements; valuation methodologies that form the basis of the negotiation between the entrepreneur and the venture capitalist in anticipation of a venture investment; the challenges of fundraising, financing strategies and the importance of the business plan and the typical dynamics that play out between VC and entrepreneur. It is recommended students take MGMT 801 before enrolling in this course. typical investment terms found in the term sheet and the dynamics of negotiation between the entrepreneur and the venture capitalist; compensation practices in a venture capital backed company; and corporate governance in the context of a privately-held, venture capital-backed start-up company and the typical dynamics that play out between VC and entrepreneur in an insider-led, ""down round"" financing."
"Management","MGMT8060","Venture Implementation(1 CU)","Tyler Wry","This advanced course on entrepreneurship focuses on developing a validated opportunity or concept into a venture that is ready for seed financing and/or launching the product or service. Participants in this course must previously have developed a validated opportunity, either in a previous course or through independent efforts. Students may participate as a team of up to three people. Ideally, participants are committed to pursuing their opportunity commercially, or at least to seriously explore that possibility. The course provides a practical guidance for developing the product or service, forming the entity, raising capital building the team, establishing partnerships, and sourcing professional services. After completing the course, you will be ""pitch ready"" - whether submitting to campus venture competitions or to outside investors. Most coursework is focused on applying concepts and frameworks to project tasks in developing the venture. Students must have successfully completed MGMT 8010 before enrolling in this course (or obtain the permission of the instructor). Format: Highly interactive Requirements: Class participation, interim assignments."
"Management","MGMT8090","Private Equity in Emerging Markets(0.5 CU)","Stephen Sammut, Peter Tropper","This course investigates the private equity industry in emerging markets. The goal of the course is to give students a realistic understanding of the roles, responsibilities and analytical skills required of market practitioners, as well as the tensions that arise between various stakeholders, including government officials, investors, entrepreneurs and the press. The underlying premise is that the basic rules for private equity in those countries are similar to the rules in more industrialized countries, but market participants face a broader range of issues in areas such as valuations, governance, legal structures, contract enforcement and regulatory transparency. To provide students with a practical grasp of the issues, classes will be a mix of lectures, expert guest speakers and business cases. Cases will highlight the challenges and tasks at each stage of the investment cycle, such as structuring and launching a new fund, originating new deals, conducting due diligence, creating value, monitoring the performance of portfolio companies and exiting. Each class will focus on a specific topic, ranging from the basics of how and why private equity funds operate to complex issues such as fund governance and adding value to family firms."
"Management","MGMT8110","Entrepreneurship Through Acquisition(0.5 CU)","Robert Chalfin","MGMT 811 focuses on the theoretical, strategic, analytics, and practical issues of acquiring a business. Topics include: locating a business, due diligence, reviewing and analyzing data, valuation, raising capital/financing the deal, search funds, structuring the acquisition, letters of intent, contracts/asset purchase agreements, integrating the target, acquisition growth strategies, and transitioning/exiting the acquisition. Format: The class consists of lectures, in-class discussions of cases, assigned readings, homework problems, case studies, and a group or individual project. It is recommended students take MGMT 801 before enrolling in this course."
"Management","MGMT8120","Social Entrepreneurship(0.5 CU)","Valentina Assenova","This is a course on creating a business to attack a social problem and thereby accomplish both social impact and financial sustainability. For this course, social entrepreneurship is defined as entrepreneurship used to profitably confront social problems. This definition therefore views social entrepreneurship as a distinct alternative to public sector initiatives. The basic thesis is that many social problems, if looked at through an entrepreneurial lens, create opportunity for someone to launch a venture that generates profits by alleviating that social problem. This sets in motion a virtuous cycle - the entrepreneur is incented to generate more profits and in so doing, the more the profits made, the more the problem is alleviated. Even if it is not possible to eventually create a profit-making enterprise, the process of striving to do so can lead to a resource-lean not-for-profit entity. Creating a profitable social entrepreneurship venture is by no means a simple challenge. Cross-listed with MGMT 212."
"Management","MGMT8140","Search Fund Entrepreneurship(1 CU)","Jim Vesterman, Charbel Zreik","The objective of this course is to study the path to entrepreneurship through the acquisition of an existing operating business using the Search Fund private equity model. We will study the process through a series of lectures, guest presentations, assigned readings, case studies, and a final project."
"Management","MGMT8150","Sports Business Management(1 CU)","Rob Digisi","This course examines various business disciplines as they apply to the sports industry. The course provides the student with an overview of the business of the intercollegiate, Olympic and professional sports enterprises. In addition, the course investigates the business related issues encountered by managers of sports organizations and covers how business principles can be applied to effectively address these issues."
"Management","MGMT8160","Building Human Assets in Entrepreneurial Ventures(0.5 CU)","Valery Yakubovich","The success of entrepreneurial endeavors depends, even more so than in larger more bureaucratic organizations, on the ability to locate and manage talent effectively. Specifically, on the need to find the right people and keep them engaged in working on the organization's goals. We focus in this course on leading, building, and maintaining human assets in start-up and small, growing operations. The course is designed with several key components, these are: conceptual and practical readings relevant to the topic; case studies illustratng key concepts and issues; lecture on practical application and examples; and lastly every class will also feature a presentation by and conversation with an outside expert whose work is relevant to guiding or advising start-ups and fast-growing small firms. We will focus on the following objectives: identifying the talent needed to initiate and sustain an entrepreneurial endeavor; structuring human resource policies and corporate culture to prepare for and facilitate firm growth; assessing the human aspects of valuing entrepreneurial companies; and responding to conflict and organizational threats within nascent firms. This course will apply recent research from strategic human resource management, personnel economics and organizational behavior to the practical issues of building and managing human assets in new ventures."
"Management","MGMT8170","Global Growth of Emerging Firms(1 CU)","Natalie Carlson","Emerging firms are a critical element of economic growth, and a key source of gains in innovation and social welfare. This course is designed to depart from the U.S.-centric conversation on startups - with its outsized focus on Silicon Valley - and train a critical eye on some of the unique innovations emerging from new regional hotspots across the globe, with a particular focus on developing and emerging economies. We will discuss the challenges faced by founders in different global contexts, the components of a robust institutional ecosystem, and the ways in which creative solutions may flourish in response to local problems. Along the way, students will gain a virtual view into global startup communities, and personalized insights from firm founders operating around the world - from Bogota to Nairobi to Jakarta. The course will be structured in three primary parts. The first and longest section will discuss the Key Challenges for emerging firm growth across the globe, such as access to talent and resources, political risk, and legal institutions. The second section will highlight particularly active areas of Context-Driven Innovation that are thriving in various regions, such as financial technology, mobile health products, and clean energy. The final section will train Regional Spotlights on different geographic areas in turn, so that we may focus on the challenges and opportunities specific to various parts of the world. This course is relevant to both U.S. and non-U.S. students, and it is expected that students will bring their own backgrounds and experiences to contribute to lively class discussions. The course will culminate with a group project done in teams of four, in which groups will give short presentations to the class."
"Management","MGMT8310","Entrepreneurship Launchpad(1 CU)","Henning Piezunka, Tyler Wry","This advanced course on entrepreneurship focuses on taking your venture from a good idea to a fundable business. Participants need to come to the class with a validated idea that they are committed to pursuing commercially. The course is entirely oriented toward applying concepts and frameworks to advance your venture and provides practical guidance for testing the product or service, forming the entity, establishing partnerships, and engaging with investors. Students must have successfully completed MGMT 801 before enrolling (or obtain the permission of the instructor). Format: Highly interactive Requirements: Class participation, interim assignments."
"Management","MGMT8320","Business Model Innovation Strategy(0.5 CU)","Michael Christensen","Business Model Innovation Strategy is a half semester MBA elective course which centers on the conceptualization, design, analysis and implementation of novel business models by incumbent and by new venture leaders as well as on the organizational challenges associated with a business model innovation strategy. Students will be introduced to a framework for developing and implementing a new business model. The framework will be brought to life through a combination of lectures, in-class exercises, numerous illustrations and case discussions."
"Management","MGMT8330","Strategies and Practices of Family-controlled Companies(1 CU)","William Alexander","This course is designed for those persons who desire to understand the distinct strategies and practices of family-controlled companies and family wealth creation. It will focus on stakeholder decision making; financial and resource driven options for long-run competitiveness, organizational structures, management team issues; strategic planning from a resource-based perspective; transition planning for the corporate entity, family dynamics, communication issues; and leadership empowerment. The course is intended for those who plan to consult or provide professional services to family-controlled companies and for those planning a career in a family firm. The class is structured around topical lectures with frequent utilization of case studies requiring active class participation, as well as on-site and off-site project work time. Submission of several written case studies, and a term project are required. Open to Wharton MBA and Penn graduate students."
"Management","MGMT8710","Advanced Global Strategy(1 CU)","Exequiel Hernandez","This class is designed to develop world class, globally-minded managers. Many of the most important business issues of today are global in nature. Both ""macro"" phenomena (e.g. nationalism, protectionism, demographic change) and ""micro"" trends (e.g. competition within and from emerging markets, distributed talent and innovation, digitization and automation) are inherently international issues. They require firms and managers to think, innovate, and organize globally. This class offers a comprehensive set of tools to evaluate opportunities and challenges in global markets, to leverage cross-country differences to enhance innovation and performance, to manage the complexities of a business spread across multiple countries, and to win against foreign rivals. The course will focus on both the formulation and execution of global strategy, with a heavy emphasis on current events and hands on activities. Sample topics include: quantifying opportunities and risks of foreign investments; formulating and executing strategies that balance local responsiveness, global efficiency, and innovation; exploiting differences across countries to enhance innovation while protecting intellectual property; managing organizational structure, culture, and people in multinational organizations; structuring and managing cross-national and cross-cultural teams; developing a global mindset among managers and employees. This course builds on the global management portion of MGMT 611 or MGMT 612, but taking those classes is not a prerequisite for MGMT 871."
"Management","MGMT8750","Comparative Capitalism(1 CU)","Mitchell Orenstein","While we often debate capitalism as a system, the nature of capitalist economies differ from country to country and rarely match up to the ideal. Why do these differences arise? Is there a pure form of capitalism? What is the nature of capitalism in advanced and emerging economies? Why are capitalist economies often embedded in other social systems? Why do some economies grow faster than others? How do international institutions and interdependencies affect national capitalist institutions? How are the strategies of multinational corporations (MNCs) influenced by their country of origin? And how is the nature of capitalism changing today? This course provides insight into these questions as it explores the nature of capitalism around the world, with specific reference to Brazil, Russia, Ukraine, China, Hungary, Nigeria, South Africa, Singapore, Israel, Argentina, and the advanced OECD countries. Students will leave this class with understanding key differences in how capitalist economies are organized and competition over the future of the world economy."
"Management","MGMT8880","Venture Acceleration Lab(1 CU)","David Hsu","This Lab emphasizes experiential learning in evaluating and contributing to “live” startup ventures. The goal of the Lab is to accelerate the development of ventures by providing a structured curricular setting in which mentors with industry expertise as operators and investors provide guidance to full-time venture founders. Undergraduate and MBA students learn through witnessing these interactions and through helping ventures structure their value creation and capture strategies. The latter is facilitated via instructor-led classes on focused venture development concepts. This unique Lab therefore brings together communities which rarely mix: startup founders, enrolled students as potential venture “joiners” and consultants, venture mentors, and technical/academic specialists."
"Management","MGMT8900","Advanced Study-Ind(1 CU)","Michael Christensen",""
"Management","MGMT8910","Advanced Study Project - Strategic Management(1 CU)","Lisa Rudi, Nicolaj Siggelkow, Nancy Rothbard",""
"Management","MGMT8920","Advanced Study Project - Collaborative Innovation Program(1 CU)","Scott Snyder, Xu Han","Business success is increasingly driven by a firm's ability to create and capture value through innovation. Thus, the processes used by firms to develop innovations, the choices they make regarding how to commercialize their innovations, the changes they make to their business models to adapt to the dynamic environment, and the strategies they use to position and build a dominate competitive position are important issues facing firms. In MGMT. 892, you will learn to address these issues through an action learning approach. MGMT. 892 is a 1.0-credit course conducted in the spirit of an independent study. By working on consulting projects for leading global companies, you will develop and then apply your knowledge about innovation management and help these firms better understand the challenges and opportunities posed by emerging technologies and markets."
"Management","MGMT8950","Global Business(0.5 CU)","Martine Haas, Mireia Lizandra, Exequiel Hernandez, Mary McDonnell",""
"Management","MGMT8960","Decision Making in the Leadership Chair(0.5 CU)","William Lauder","Contact the Management Department for additional information at: Courseinfo@wharton.upenn.edu. Decision making in the leadership chair is a complex task and one that is difficult to teach in a business school setting. To bridge this gap, Mr. William P. Lauder and invited executives will bring their experiences into the classroom, primarily addressing key decision they made, how they weighed their options, and what they learned from the outcomes. The framework for the class centers around two crucial aspects of decision making in the leadership chair: the need to manage many groups of stakeholders, and the need to play many roles when doing this. This course is by application only to second-year Wharton MBAs and a maximum of 48 students will be selected. A communication will be sent regarding the application details."
"Management","MGMT8970","Global Modular Course A(0.5 CU)","Nicolaj Siggelkow, Tyler Wry, Katherine Klein, John Paul MacDuffie, Harbir Singh, Rahul Kapoor","Special course arranged for Wharton MBA students, focused on global business, management and innovation."
"Management","MGMT8980","Global Modular Course B(0.5 CU)","Kenneth L Shropshire","removing WH 898 as erroneous crosslist."
"Marketing","MKTG6110","Marketing Management(0.5 CU)","Barbara E Kahn, Shiri Melumad, Raghuram Iyengar, Marissa Sharif, Jagmohan Singh Raju","This course addresses how to design and implement the best combination of marketing efforts to carry out a firm's strategy in its target markets. Specifically, this course seeks to develop the student's (1) understanding of how the firm can benefit by creating and delivering value to its customers, and stakeholders, and (2) skills in applying the analytical concepts and tools of marketing to such decisions as segmentation and targeting, branding, pricing, distribution, and promotion. The course uses lectures and case discussions, case write-ups, student presentations, and a comprehensive final examination to achieve these objectives."
"Marketing","MKTG6120","Dynamic Marketing Strategy(0.5 CU)","Stefano Puntoni, Americus Reed, Eric Bradlow","Building upon Marketing 611, the goal of this course is to develop skills in formulating and implementing marketing strategies for brands and businesses. The course will focus on issues such as the selection of which businesses and segments to compete in, how to allocate resources across businesses, segments, and elements of the marketing mix, as well as other significant strategic issues facing today's managers in a dynamic competitive environment. A central theme of the course is that the answer to these strategic problems varies over time depending on the stage of the product life cycle at which marketing decisions are being made. As such, the PLC serves as the central organizing vehicle of the course. We will explore such issues as how to design optimal strategies for the launch of new products and services that arise during the introductory phase, how to maximize the acceleration of revenue during the growth phase, how to sustain and extend profitability during the mature phase, and how to manage a business during the inevitable decline phase."
"Marketing","MKTG6130","Strategic Marketing Simulation(0.5 CU)","David Reibstein, Robert J Meyer","Building upon Marketing 611, Marketing 613 is an intensive immersion course designed to develop skills in formulating and implementing marketing strategies for brands and businesses. The central activity will be participation in a realistic integrative product management simulation named SABRE. In SABRE, students will form management teams that oversee all critical aspects of modern product management: the design and marketing of new products, advertising budgeting and design, sales force sizing and allocation, and production planning. As in the real world, teams will compete for profitability, and the success that each team has in achieving this goal will be a major driver of the class assessment. The SABRE simulation is used to convey the two foci of learning in the course: the changing nature of strategic problems and their optimal solutions as industries progress through the product life cycle, and exposure to the latest analytic tools for solving these problems. Specifically, SABRE management teams will receive training in both how to make optimal use of marketing research information to reduce uncertainty in product design and positioning, as well as decision support models to guide resource allocation."
"Marketing","MKTG7110","Consumer Behavior(1 CU)","Annie Wilson","Marketing begins and ends with the customer, from determining customers' needs and wants to providing customer satisfaction and maintaining customer relationships. This course examines the basic concepts and principles in customer behavior with the goal of understanding how these ideas can be used in marketing decision making. The class will consist of a mix of lectures, discussions, cases, assignments, project work and exams. Topics covered include customer psychological processes (e.g., motivation, perception, attitudes, decision-making) and their impact on marketing (e.g., segmentation, branding, and customer satisfaction). The goal is to provide you with a set of approaches and concepts to consider when faced with a decision involving understanding customer responses to marketing actions."
"Marketing","MKTG7120","Data and Analysis for Marketing Decisions(1 CU)","Raghuram Iyengar, Zhenling Jiang, Ryan Dew, Eric Eisenstein","This course introduces students to the fundamentals of data-driven marketing, including topics from marketing research and analytics. It examines the many different sources of data available to marketers, including data from customer transactions, surveys, pricing, advertising, and A/B testing, and how to use those data to guide decision-making. Through real-world applications from various industries, including hands-on analyses using modern data analysis tools, students will learn how to formulate marketing problems as testable hypotheses, systematically gather data, and apply statistical tools to yield actionable marketing insights."
"Marketing","MKTG7250","Principles of Retailing(0.5 CU)","Bryan Eshelman","This course is a cross-functional overview of retailing – from types of retailers to current trends and strategies.  The objective is to familiarize students with the retail business model in its various forms – from pure store-based retailers, to digital natives, and everything in-between.  Topics will include structures & organizational models, channels & formats, real estate & locations, marketing & customer relationship management, the full merchandising cycle (planning & buying to display & pricing), and operations & technology.  This knowledge will be fundamental to careers working for retailers themselves (e-commerce or omnichannel), but also in consulting to retailers, in banking or investing in the retail sector, or even starting a brand or retail concept.   Those seeking more depth in product design & development, buying, planning, pricing, and visual merchandising should consider taking Retail Merchandising (MKTG 8060).  Those seeking more depth in sourcing, distribution, fulfillment, and store/site operations should consider taking Retail Supply Chain Management (OIDD 6970)."
"Marketing","MKTG7270","Analytics and AI in Digital Marketing and Social Media(0.5 CU)","Ron Berman","Digital marketing plays a key role in shaping the modern economy, fueling modern business, affecting public policy, and enabling new forms of social communication. The field is also unique in its reliance on data analytics, consumer behavior and behavioral economics theories and advanced experimental technologies. Recently, generative AI and LLMs make it easier to create an abundance of content easily but also make it harder to garner online attention. MKTG 7270 provides a framework-driven and applied approach to understanding digital marketing and electronic commerce. The course is organized into two sections and utilizes relevant theory, empirical analysis, and practical examples, to develop the key learning points. Guest speakers will participate as well, as appropriate to augment class learning."
"Marketing","MKTG7340","Idea Generation and the Systematic Approach for Creativity(0.5 CU)","Gideon Nave","The ability to solve problems creatively and generate change is a recognized standard of success and plays an important role in gaining a competitive advantage in many areas of business management. This course is designed to teach students several creative problem solving methodologies that complement other managerial tools acquired in undergraduate and graduate studies. The course offers students the opportunity to learn how to solve problems, identify opportunities, and generate those elusive ideas that potentially generate enormous benefits to organizations. The objectives of this course are to enhance the students' (a) creativity, (b) ability to innovate and (c) ability to identify, recruit, develop, manage, retain, and collaborate with creative people. The course includes: 1. A review of the literature on creativity, creative people, innovation, and design as well as the leadership and management of creative people and innovation. 2. Hands on learning of approaches for generating creative ideas. Students will have the opportunity of implementing the techniques studied in class. 3. Applications of creativity to selected management domains - Approaches to the generation of creative options are not limited to the development of products and services or businesses, but can be applied to all areas of management, business, and life. The purpose of these sessions is to explore the applications of creative approaches to marketing, advertising, organizational design, negotiations, and other management challenges. 4. Integration - Both via individual assignments and a group project in which interdisciplinary teams of students generate a creative product/service/customer"
"Marketing","MKTG7370","Applied Neuroscience for Business Decisions(0.5 CU)","Michael Platt","This course provides an overview of contemporary brain science and its applications to business. Students are first rapidly introduced to the basic anatomy and physiology of the brain and become familiar with important techniques for measuring and manipulating brain function. The course then surveys major findings in neuroscience with applications to business, including vision, attention and advertising; valuation and marketing; decision making; learning, innovation and creativity; social influence, team-building, and leadership; and discussion of the ethical, legal, and societal implications of applying neuroscience to business. Applications to business, education, sports, law, and policy are discussed throughout."
"Marketing","MKTG7380","Consumer Neuroscience(0.5 CU)","Gideon Nave","How can studying the brain improve our understanding of consumer behavior? While neuroscience made tremendous strides throughout the past few decades, rarely were meaningful applications developed outside of medicine. Recently, however, breakthroughs in measurement and computation have accelerated brain science, and created an array of opportunities in business and technology. Currently, applications to marketing research and product development are experiencing explosive growth that has been met with both excitement and skepticism. This mini course provides an overview of the neuroscience behind and the potential for these developments. Topics will range from well-known and widely used applications, from eye-tracking measures in the lab and the field, to emerging methods and measures such as mobile technologies, face-reading, and neural predictors of market response. This course is self-contained and has no prerequisites. However, students with some background in business, economics, psychology, and/or neuroscience are likely to find some of the material covered in this course complementary to their existing knowledge. Much of the foundational work in consumer neuroscience and neuroeconomics involves laboratory experiments. Accordingly, we will read and discuss several experimental papers and the craft of designing an experiment will occasionally be discussed. However, we will not dedicate significant time to the methodology of experimental design and analysis. As will become clear as the course progresses, “consumer neuroscience"" can be used to study almost any aspect of consumer behavior."
"Marketing","MKTG7390","Visual Marketing(1 CU)","Barbara E Kahn, Elizabeth Johnson","As consumers, we are constantly exposed to advertisements and experience visual messages from product packages in stores, retail displays, and products already owned. In essence, visual marketing collateral is omnipresent and is an essential part of corporate visual identity, strategy, branding, and communication. Some of this falls to creative graphic design, but advertising, design, and marketing can also be significantly enhanced by knowledge of how visual information and its presentation context can be optimized to deliver desirable and advantageous messages and experiences. This course will emphasize how to measure, interpret, and optimize visual marketing. This course will use lectures, discussions, exercises and a group project, to help students understand the underlying processes that influence our visual perception and visual cognition. Students will learn about the theoretical processes and models that influence, attention and visual fluency. Students will also be exposed to eye-tracking instruments that help measure eye movement. Finally, we will explore how visual stimuli can influence consumer memory, persuasion, and choice. We will examine practical applications in marketing, advertising, packaging, retail, and design contexts."
